Sex,Rings,Length,Diameter,Height,Weight
F,12,0.605,0.47,0.16,1.0835
M,10,0.61,0.45,0.15,0.871
M,12,0.61,0.48,0.165,1.244
M,10,0.61,0.475,0.17,1.0265
I,9,0.61,0.465,0.15,0.9605
M,10,0.61,0.48,0.17,1.137
M,10,0.61,0.46,0.16,1
F,10,0.615,0.475,0.155,1.004
M,10,0.615,0.47,0.165,1.128
M,10,0.615,0.5,0.17,1.054
F,12,0.615,0.475,0.165,1.023
M,10,0.615,0.475,0.17,1.129
M,9,0.615,0.48,0.175,1.118
F,10,0.615,0.475,0.155,1.115
M,10,0.62,0.51,0.175,1.2815
M,12,0.62,0.495,0.18,1.2555
F,10,0.62,0.5,0.15,1.293
F,10,0.62,0.475,0.16,1.1295
M,9,0.625,0.455,0.17,1.082
F,11,0.625,0.505,0.175,1.15
F,9,0.625,0.515,0.16,1.264
F,12,0.625,0.48,0.155,1.2035
F,9,0.63,0.485,0.17,1.3205
I,11,0.63,0.505,0.18,1.272
M,12,0.63,0.485,0.145,1.062
I,10,0.63,0.475,0.145,1.0605
M,12,0.63,0.495,0.16,1.093
M,10,0.635,0.49,0.16,1.101
F,9,0.635,0.5,0.165,1.4595
F,9,0.635,0.495,0.175,1.211
M,10,0.635,0.475,0.17,1.1935
M,10,0.635,0.51,0.155,0.986
M,15,0.64,0.565,0.23,1.521
M,10,0.64,0.525,0.18,1.3135
M,11,0.645,0.51,0.16,1.1835
M,10,0.645,0.5,0.195,1.401
M,11,0.645,0.525,0.16,1.5075
F,11,0.65,0.505,0.165,1.16
F,11,0.65,0.59,0.22,1.662
M,11,0.65,0.525,0.175,1.5365
M,9,0.65,0.51,0.19,1.542
F,10,0.65,0.51,0.17,1.567
F,10,0.655,0.525,0.19,1.3595
M,13,0.655,0.535,0.205,1.6445
F,10,0.655,0.52,0.19,1.4545
M,10,0.655,0.49,0.175,1.3585
F,10,0.66,0.495,0.21,1.548
F,10,0.66,0.515,0.17,1.337
F,10,0.665,0.53,0.18,1.491
F,11,0.67,0.53,0.225,1.5615
F,10,0.67,0.505,0.175,1.0145
M,13,0.675,0.545,0.185,1.7375
M,9,0.685,0.545,0.205,1.7925
F,11,0.695,0.565,0.19,1.7635
F,12,0.7,0.545,0.13,1.556
M,10,0.705,0.565,0.515,2.21
M,11,0.705,0.555,0.215,2.141
F,12,0.705,0.57,0.18,1.5345
F,11,0.71,0.55,0.17,1.614
F,13,0.72,0.575,0.17,1.9335
M,12,0.72,0.575,0.215,2.173
F,11,0.725,0.6,0.2,1.737
F,11,0.73,0.58,0.19,1.7375
F,12,0.735,0.565,0.205,2.1275
F,9,0.745,0.57,0.215,2.25
F,14,0.75,0.61,0.235,2.5085
F,14,0.815,0.65,0.25,2.255
I,3,0.14,0.105,0.035,0.014
I,4,0.23,0.165,0.06,0.0515
I,7,0.365,0.265,0.135,0.2215
I,5,0.365,0.255,0.08,0.1985
I,6,0.37,0.27,0.095,0.232
I,7,0.375,0.28,0.085,0.3155
I,5,0.385,0.3,0.09,0.247
I,5,0.395,0.295,0.09,0.3025
I,6,0.4,0.29,0.11,0.329
I,7,0.4,0.3,0.09,0.2815
I,8,0.405,0.31,0.095,0.3425
I,7,0.405,0.29,0.09,0.2825
I,6,0.405,0.3,0.105,0.304
I,5,0.41,0.32,0.095,0.2905
M,9,0.415,0.315,0.115,0.3895
I,6,0.425,0.34,0.105,0.389
I,6,0.43,0.34,0.105,0.4405
I,5,0.44,0.34,0.105,0.369
M,8,0.44,0.32,0.12,0.4565
I,9,0.44,0.365,0.11,0.4465
M,6,0.45,0.335,0.125,0.4475
I,7,0.455,0.335,0.135,0.501
I,8,0.46,0.355,0.11,0.436
I,9,0.47,0.345,0.14,0.4615
I,6,0.47,0.35,0.125,0.4315
I,6,0.47,0.355,0.12,0.3685
M,8,0.475,0.37,0.125,0.649
I,7,0.475,0.365,0.115,0.459
F,7,0.475,0.365,0.115,0.566
I,7,0.48,0.36,0.125,0.542
I,6,0.485,0.38,0.12,0.4725
M,8,0.485,0.39,0.085,0.6435
M,6,0.485,0.37,0.13,0.526
F,7,0.495,0.38,0.12,0.573
M,9,0.505,0.385,0.105,0.5525
F,9,0.505,0.38,0.135,0.6855
I,8,0.515,0.395,0.125,0.556
M,8,0.515,0.425,0.145,0.9365
I,7,0.515,0.4,0.125,0.5625
M,8,0.52,0.4,0.125,0.559
M,8,0.525,0.4,0.14,0.7205
I,9,0.53,0.43,0.13,0.7045
M,8,0.53,0.4,0.125,0.7575
F,9,0.545,0.41,0.14,0.7405
F,8,0.55,0.43,0.14,0.84
M,9,0.55,0.425,0.16,0.793
F,8,0.56,0.43,0.15,0.8745
F,9,0.56,0.435,0.15,0.8715
M,8,0.57,0.445,0.15,0.9875
M,9,0.575,0.465,0.15,1.08
M,8,0.575,0.46,0.165,0.9155
F,9,0.58,0.46,0.175,1.165
F,9,0.58,0.435,0.14,0.953
M,8,0.585,0.455,0.15,0.906
M,8,0.59,0.44,0.15,0.8725
F,9,0.59,0.465,0.15,1.151
F,8,0.59,0.46,0.145,0.9905
F,9,0.595,0.455,0.16,1.04
M,8,0.6,0.455,0.155,0.945
M,9,0.6,0.465,0.2,1.259
F,11,0.605,0.485,0.165,0.9515
F,9,0.605,0.485,0.16,1.201
F,9,0.605,0.515,0.17,1.289
F,11,0.61,0.485,0.17,1.1005
I,8,0.615,0.475,0.13,0.8425
M,10,0.62,0.485,0.155,1.049
F,8,0.62,0.435,0.155,1.012
M,9,0.62,0.48,0.165,1.0725
M,10,0.625,0.52,0.175,1.4105
M,11,0.625,0.47,0.18,1.136
M,9,0.63,0.47,0.145,1.1005
F,10,0.63,0.5,0.175,1.1105
M,9,0.63,0.455,0.15,1.1315
M,11,0.63,0.48,0.15,1.271
F,10,0.63,0.49,0.225,1.336
F,10,0.635,0.505,0.145,1.1345
M,8,0.635,0.51,0.185,1.308
F,9,0.64,0.515,0.205,1.5335
F,10,0.645,0.515,0.175,1.546
M,11,0.645,0.51,0.155,1.539
F,11,0.645,0.505,0.165,1.318
F,10,0.65,0.545,0.175,1.5245
M,10,0.65,0.515,0.175,1.466
F,9,0.65,0.5,0.16,1.3825
M,8,0.65,0.485,0.14,1.175
F,11,0.655,0.54,0.215,1.5555
M,11,0.655,0.51,0.215,1.7835
M,10,0.66,0.505,0.165,1.374
F,10,0.665,0.515,0.18,1.389
M,11,0.67,0.545,0.2,1.7025
M,10,0.67,0.51,0.175,1.5265
M,10,0.67,0.5,0.19,1.519
F,12,0.68,0.5,0.185,1.741
M,11,0.68,0.515,0.17,1.6115
M,12,0.69,0.525,0.2,1.7825
F,11,0.7,0.55,0.17,1.684
M,11,0.7,0.555,0.2,1.858
M,10,0.705,0.56,0.165,1.675
M,12,0.72,0.565,0.2,2.1055
M,13,0.725,0.575,0.24,2.21
M,10,0.74,0.57,0.18,1.8725
M,11,0.75,0.55,0.18,1.893
I,5,0.21,0.17,0.045,0.0475
I,5,0.285,0.21,0.055,0.101
I,6,0.295,0.215,0.07,0.121
I,6,0.3,0.23,0.085,0.117
I,6,0.305,0.225,0.09,0.1465
I,5,0.335,0.255,0.08,0.168
I,5,0.35,0.26,0.075,0.18
I,6,0.355,0.27,0.075,0.1775
I,7,0.355,0.26,0.09,0.1985
I,8,0.36,0.27,0.095,0.2
I,7,0.36,0.275,0.075,0.2205
I,7,0.36,0.265,0.075,0.1845
I,7,0.365,0.27,0.085,0.2225
I,6,0.37,0.27,0.095,0.2175
I,7,0.375,0.28,0.08,0.2165
I,7,0.38,0.285,0.095,0.243
I,6,0.38,0.29,0.1,0.237
I,8,0.385,0.29,0.09,0.2365
I,7,0.385,0.28,0.095,0.257
I,8,0.385,0.3,0.09,0.308
I,7,0.39,0.3,0.09,0.252
I,7,0.39,0.285,0.1,0.281
I,7,0.39,0.29,0.1,0.2225
I,8,0.41,0.3,0.09,0.304
I,8,0.41,0.3,0.09,0.28
I,7,0.415,0.325,0.1,0.313
I,8,0.425,0.325,0.11,0.317
I,7,0.425,0.315,0.08,0.303
I,7,0.435,0.335,0.1,0.3295
I,6,0.435,0.325,0.11,0.367
I,8,0.45,0.34,0.095,0.3245
I,7,0.45,0.335,0.11,0.4195
I,10,0.455,0.36,0.115,0.457
I,7,0.46,0.35,0.11,0.4
I,7,0.46,0.355,0.11,0.4255
I,9,0.465,0.37,0.12,0.4365
I,8,0.465,0.345,0.11,0.393
I,8,0.47,0.355,0.125,0.499
I,8,0.475,0.36,0.145,0.6325
M,7,0.475,0.36,0.1,0.4285
I,8,0.475,0.36,0.125,0.4905
I,9,0.48,0.37,0.125,0.474
I,8,0.48,0.37,0.12,0.536
M,8,0.48,0.355,0.16,0.464
I,7,0.485,0.375,0.13,0.6025
I,8,0.49,0.375,0.115,0.4615
I,8,0.49,0.4,0.135,0.624
I,8,0.495,0.37,0.125,0.4715
I,8,0.495,0.4,0.105,0.602
I,8,0.5,0.4,0.12,0.616
I,8,0.5,0.39,0.12,0.5955
I,9,0.5,0.375,0.14,0.559
I,7,0.51,0.395,0.13,0.6025
F,6,0.515,0.375,0.11,0.6065
I,9,0.515,0.36,0.125,0.4725
I,10,0.515,0.35,0.105,0.4745
I,8,0.515,0.395,0.125,0.6635
I,8,0.515,0.39,0.125,0.5705
I,9,0.52,0.41,0.145,0.646
I,7,0.52,0.39,0.13,0.5545
M,8,0.525,0.415,0.145,0.845
I,9,0.525,0.39,0.12,0.664
I,8,0.525,0.38,0.135,0.615
I,7,0.525,0.4,0.14,0.654
M,9,0.525,0.4,0.155,0.707
I,7,0.53,0.42,0.12,0.5965
I,10,0.53,0.43,0.135,0.6255
I,9,0.53,0.4,0.145,0.555
I,11,0.53,0.42,0.13,0.8365
I,7,0.535,0.4,0.13,0.657
I,9,0.54,0.43,0.17,0.836
I,9,0.54,0.425,0.14,0.742
I,9,0.54,0.43,0.14,0.8195
M,10,0.54,0.455,0.14,0.972
I,9,0.54,0.42,0.14,0.6275
I,10,0.54,0.425,0.13,0.7205
I,8,0.54,0.425,0.135,0.686
I,9,0.545,0.4,0.13,0.686
I,8,0.545,0.375,0.12,0.543
I,8,0.545,0.42,0.125,0.717
M,10,0.55,0.435,0.14,0.7625
I,9,0.55,0.425,0.15,0.639
I,12,0.55,0.42,0.135,0.816
I,8,0.55,0.415,0.145,0.7815
I,8,0.55,0.425,0.15,0.7665
I,9,0.555,0.395,0.13,0.5585
I,8,0.555,0.435,0.14,0.765
I,11,0.555,0.46,0.145,0.9005
I,10,0.56,0.445,0.15,0.8225
I,8,0.56,0.44,0.13,0.7235
M,10,0.56,0.425,0.135,0.849
I,9,0.565,0.42,0.155,0.743
F,9,0.565,0.44,0.15,0.863
M,9,0.565,0.44,0.125,0.802
M,10,0.565,0.43,0.15,0.831
F,8,0.57,0.45,0.135,0.7805
M,9,0.57,0.45,0.14,0.795
I,9,0.57,0.435,0.17,0.848
I,10,0.57,0.43,0.145,0.833
I,9,0.57,0.445,0.155,0.867
I,12,0.57,0.445,0.145,0.7405
M,8,0.575,0.455,0.165,0.867
I,10,0.575,0.425,0.135,0.7965
F,10,0.575,0.47,0.155,1.116
I,9,0.575,0.45,0.125,0.78
M,10,0.575,0.47,0.185,0.985
F,8,0.575,0.465,0.195,0.9965
I,9,0.575,0.445,0.17,0.8015
I,10,0.575,0.45,0.135,0.807
F,8,0.575,0.435,0.15,1.0305
M,9,0.575,0.445,0.16,0.839
M,13,0.575,0.44,0.16,0.9615
F,8,0.58,0.435,0.15,0.834
M,10,0.58,0.46,0.155,1.0335
M,10,0.58,0.43,0.13,0.798
I,9,0.58,0.445,0.125,0.7095
F,10,0.585,0.445,0.14,0.913
M,10,0.59,0.49,0.165,1.207
I,10,0.59,0.45,0.145,1.022
I,11,0.59,0.46,0.145,0.9015
F,8,0.595,0.435,0.15,0.9
M,10,0.595,0.45,0.14,0.838
M,10,0.595,0.45,0.145,0.959
I,8,0.595,0.46,0.15,0.8335
F,8,0.6,0.46,0.155,0.9735
F,9,0.6,0.475,0.15,1.13
M,9,0.6,0.48,0.165,0.9165
I,8,0.6,0.48,0.17,0.9175
F,10,0.6,0.48,0.18,1.0645
M,9,0.6,0.47,0.165,1.059
M,10,0.6,0.47,0.16,1.194
F,9,0.605,0.455,0.145,0.9775
M,8,0.605,0.475,0.145,0.884
I,9,0.605,0.47,0.145,0.8025
F,8,0.605,0.48,0.14,0.991
F,9,0.605,0.47,0.155,0.974
F,11,0.605,0.505,0.18,1.434
M,10,0.61,0.475,0.155,0.983
F,10,0.61,0.465,0.16,1.0725
F,12,0.61,0.485,0.15,1.2405
M,9,0.61,0.47,0.16,1.022
F,10,0.61,0.475,0.16,1.1155
I,9,0.61,0.465,0.125,0.9225
M,9,0.61,0.47,0.17,1.1185
F,7,0.61,0.485,0.18,1.2795
M,10,0.615,0.47,0.16,1.0175
M,9,0.615,0.475,0.175,1.224
I,12,0.62,0.485,0.18,1.154
F,12,0.62,0.515,0.155,1.3255
M,13,0.62,0.515,0.175,1.221
F,11,0.62,0.54,0.165,1.139
I,11,0.62,0.49,0.16,1.066
F,12,0.62,0.48,0.18,1.2215
I,9,0.62,0.47,0.14,0.8565
I,10,0.62,0.45,0.135,0.924
M,12,0.62,0.48,0.15,1.266
F,9,0.62,0.48,0.175,1.0405
M,11,0.625,0.49,0.165,1.1165
M,10,0.625,0.475,0.16,1.0845
M,9,0.625,0.5,0.17,1.0985
I,12,0.625,0.47,0.155,1.1955
F,10,0.625,0.485,0.175,1.362
I,9,0.625,0.485,0.15,1.044
M,9,0.63,0.505,0.17,1.0915
F,8,0.63,0.5,0.18,1.1965
M,11,0.63,0.49,0.17,1.1745
M,10,0.63,0.485,0.165,1.233
M,11,0.63,0.495,0.175,1.2695
I,13,0.635,0.5,0.165,1.489
M,12,0.635,0.5,0.17,1.4345
F,10,0.635,0.49,0.175,1.2435
F,9,0.635,0.49,0.17,1.2615
F,10,0.64,0.505,0.165,1.2235
M,10,0.64,0.515,0.18,1.247
M,11,0.64,0.525,0.185,1.707
M,10,0.645,0.505,0.15,1.1605
M,12,0.645,0.5,0.175,1.286
M,14,0.645,0.5,0.19,1.5595
M,9,0.645,0.51,0.19,1.4745
M,10,0.645,0.51,0.195,1.226
M,9,0.645,0.51,0.16,1.33
F,9,0.645,0.51,0.16,1.2415
M,10,0.645,0.5,0.175,1.3375
F,10,0.645,0.51,0.19,1.363
M,9,0.645,0.485,0.15,1.2215
F,12,0.645,0.48,0.19,1.371
F,9,0.65,0.495,0.155,1.337
M,11,0.65,0.505,0.19,1.274
M,11,0.65,0.525,0.185,1.488
M,9,0.65,0.51,0.16,1.3835
M,10,0.655,0.55,0.18,1.274
F,9,0.655,0.51,0.15,1.043
F,12,0.655,0.505,0.19,1.3485
F,11,0.655,0.505,0.195,1.4405
M,9,0.66,0.5,0.165,1.3195
F,12,0.66,0.535,0.175,1.5175
M,10,0.66,0.53,0.195,1.5505
M,14,0.66,0.51,0.165,1.6375
M,11,0.665,0.525,0.175,1.443
M,11,0.665,0.505,0.16,1.289
F,11,0.665,0.505,0.16,1.2915
M,12,0.665,0.52,0.175,1.3725
M,9,0.665,0.5,0.175,1.2975
M,12,0.67,0.505,0.16,1.2585
M,11,0.67,0.52,0.165,1.39
F,13,0.67,0.52,0.19,1.32
F,10,0.67,0.55,0.155,1.566
F,11,0.67,0.54,0.195,1.619
M,13,0.675,0.525,0.16,1.2835
F,10,0.675,0.51,0.195,1.382
M,10,0.68,0.52,0.195,1.4535
F,11,0.68,0.51,0.2,1.6075
M,11,0.685,0.52,0.15,1.3735
F,11,0.685,0.565,0.175,1.638
F,12,0.69,0.55,0.2,1.569
M,10,0.7,0.565,0.175,1.8565
F,15,0.7,0.535,0.175,1.773
F,11,0.705,0.545,0.17,1.58
M,11,0.71,0.575,0.215,2.009
F,12,0.71,0.57,0.195,1.9805
F,10,0.71,0.54,0.205,1.5805
M,11,0.71,0.56,0.22,2.015
M,10,0.72,0.57,0.2,1.8275
M,13,0.72,0.55,0.205,2.125
F,7,0.72,0.525,0.18,1.445
F,14,0.725,0.565,0.21,2.1425
F,11,0.73,0.56,0.19,1.9425
M,11,0.735,0.59,0.215,1.747
F,12,0.74,0.565,0.205,2.119
F,11,0.75,0.565,0.215,1.938
M,12,0.75,0.595,0.205,2.2205
M,12,0.77,0.62,0.195,2.5155
M,12,0.775,0.63,0.25,2.7795
I,5,0.275,0.175,0.09,0.2315
I,6,0.375,0.245,0.1,0.394
F,7,0.375,0.27,0.135,0.597
M,7,0.39,0.28,0.125,0.564
I,8,0.435,0.3,0.12,0.5965
M,7,0.445,0.32,0.12,0.414
I,6,0.455,0.335,0.105,0.422
I,8,0.455,0.325,0.135,0.82
I,8,0.455,0.345,0.11,0.434
I,10,0.465,0.325,0.14,0.7615
M,7,0.465,0.36,0.115,0.5795
I,8,0.485,0.365,0.105,0.5205
M,9,0.485,0.37,0.155,0.968
I,9,0.485,0.345,0.16,0.869
F,8,0.49,0.355,0.16,0.8795
M,9,0.5,0.37,0.15,1.0615
M,9,0.515,0.35,0.155,0.9225
M,8,0.515,0.395,0.135,1.007
M,10,0.525,0.365,0.17,0.9605
M,7,0.525,0.38,0.125,0.65
M,8,0.53,0.41,0.14,0.7545
F,8,0.535,0.425,0.135,0.771
I,8,0.535,0.385,0.18,1.0835
I,8,0.545,0.42,0.165,0.8935
F,10,0.545,0.415,0.2,1.358
F,9,0.545,0.385,0.15,1.1185
F,10,0.55,0.38,0.165,1.205
M,10,0.55,0.42,0.16,1.3405
M,9,0.57,0.455,0.175,1.02
M,10,0.575,0.44,0.185,1.025
I,10,0.575,0.45,0.13,0.8145
F,10,0.58,0.43,0.17,1.48
M,10,0.585,0.455,0.145,0.953
I,8,0.585,0.45,0.15,0.8915
M,11,0.6,0.495,0.175,1.3005
M,9,0.6,0.465,0.165,1.038
M,9,0.605,0.475,0.175,1.2525
M,10,0.605,0.475,0.15,1.15
F,11,0.61,0.475,0.15,1.1135
F,10,0.615,0.455,0.145,1.1155
M,10,0.62,0.47,0.145,1.0865
M,9,0.625,0.495,0.175,1.254
M,11,0.625,0.49,0.185,1.169
M,11,0.635,0.495,0.195,1.172
F,10,0.635,0.475,0.15,1.1845
F,8,0.64,0.475,0.14,1.0725
M,9,0.645,0.5,0.16,1.3815
M,11,0.65,0.525,0.19,1.6125
M,10,0.65,0.485,0.16,1.7395
F,9,0.655,0.52,0.2,1.5475
M,10,0.655,0.545,0.19,1.4245
F,11,0.665,0.515,0.185,1.3405
F,10,0.675,0.53,0.175,1.4465
F,9,0.685,0.535,0.175,1.5845
F,10,0.695,0.55,0.185,1.679
M,11,0.695,0.53,0.19,1.726
F,13,0.705,0.545,0.18,1.5395
F,9,0.72,0.55,0.195,2.073
M,11,0.72,0.56,0.18,1.5865
M,11,0.73,0.575,0.21,2.069
I,5,0.185,0.135,0.04,0.027
I,4,0.24,0.18,0.055,0.0555
I,7,0.31,0.215,0.075,0.1275
I,6,0.34,0.26,0.085,0.1885
I,7,0.35,0.265,0.08,0.2
I,6,0.365,0.27,0.085,0.197
I,7,0.365,0.275,0.085,0.223
I,6,0.365,0.27,0.075,0.2215
I,8,0.39,0.31,0.105,0.2665
I,6,0.405,0.3,0.09,0.269
I,7,0.41,0.315,0.095,0.2805
I,7,0.41,0.335,0.105,0.3305
I,6,0.415,0.31,0.09,0.2815
I,6,0.415,0.31,0.1,0.2805
I,8,0.415,0.31,0.095,0.311
I,11,0.42,0.325,0.1,0.368
I,8,0.43,0.34,0.1,0.3405
I,7,0.435,0.335,0.1,0.3245
I,7,0.435,0.33,0.11,0.38
I,8,0.435,0.33,0.105,0.335
I,7,0.435,0.345,0.12,0.3215
I,8,0.445,0.33,0.11,0.358
I,7,0.465,0.37,0.11,0.445
I,8,0.47,0.375,0.12,0.487
I,9,0.475,0.34,0.105,0.4535
I,7,0.485,0.385,0.13,0.568
I,8,0.485,0.36,0.12,0.5155
I,9,0.485,0.37,0.115,0.457
I,8,0.495,0.38,0.135,0.5095
I,8,0.495,0.38,0.145,0.5
I,8,0.495,0.375,0.14,0.494
I,9,0.5,0.38,0.11,0.5605
I,11,0.505,0.405,0.13,0.599
I,8,0.505,0.4,0.145,0.7045
F,10,0.51,0.4,0.12,0.7005
I,10,0.515,0.415,0.135,0.7125
I,10,0.515,0.42,0.15,0.6725
M,8,0.515,0.385,0.11,0.5785
I,8,0.52,0.41,0.11,0.5185
I,9,0.52,0.415,0.14,0.6375
I,9,0.52,0.395,0.125,0.5805
I,7,0.52,0.38,0.115,0.6645
I,10,0.52,0.385,0.115,0.581
I,9,0.525,0.415,0.12,0.596
I,8,0.525,0.405,0.145,0.6965
I,9,0.525,0.4,0.145,0.6095
I,8,0.53,0.43,0.14,0.677
I,9,0.53,0.43,0.16,0.7245
I,9,0.53,0.395,0.13,0.575
I,9,0.53,0.405,0.12,0.632
I,9,0.535,0.455,0.14,1.0015
F,9,0.54,0.425,0.16,0.9455
I,9,0.54,0.395,0.135,0.6555
I,8,0.54,0.39,0.125,0.6255
I,10,0.545,0.425,0.14,0.8145
I,9,0.545,0.43,0.14,0.687
I,10,0.55,0.435,0.14,0.7995
I,6,0.55,0.45,0.13,0.804
M,8,0.555,0.435,0.14,0.7495
M,8,0.555,0.41,0.125,0.599
M,7,0.555,0.4,0.13,0.7075
I,9,0.555,0.45,0.175,0.738
M,9,0.555,0.455,0.135,0.837
I,9,0.56,0.445,0.165,0.832
F,11,0.565,0.445,0.125,0.8305
M,7,0.565,0.415,0.125,0.667
M,11,0.565,0.455,0.155,0.9355
I,9,0.565,0.435,0.145,0.8445
M,9,0.565,0.45,0.16,0.895
I,10,0.565,0.46,0.155,0.8715
M,11,0.57,0.46,0.155,1.0005
M,11,0.57,0.455,0.155,0.832
M,9,0.57,0.44,0.175,0.9415
M,13,0.57,0.415,0.13,0.88
F,9,0.57,0.44,0.12,0.803
M,9,0.575,0.45,0.13,0.785
M,9,0.575,0.45,0.155,0.9765
M,10,0.575,0.435,0.135,0.992
M,11,0.575,0.455,0.155,1.013
M,10,0.575,0.445,0.145,0.876
F,9,0.575,0.465,0.175,1.099
I,10,0.575,0.45,0.135,0.8715
I,11,0.575,0.45,0.135,0.8245
F,9,0.575,0.43,0.155,0.7955
M,9,0.575,0.475,0.145,0.857
F,9,0.58,0.45,0.195,0.8265
F,10,0.58,0.5,0.165,0.925
M,10,0.58,0.44,0.15,1.0465
I,10,0.58,0.44,0.145,0.7905
M,9,0.58,0.44,0.16,0.8295
M,10,0.595,0.455,0.15,0.886
F,11,0.6,0.47,0.135,0.97
M,11,0.6,0.46,0.17,1.1805
M,10,0.6,0.475,0.15,0.99
F,11,0.6,0.465,0.16,1.133
I,10,0.605,0.49,0.165,1.071
F,9,0.605,0.455,0.145,0.862
M,10,0.605,0.47,0.18,1.1155
M,8,0.61,0.48,0.14,1.031
F,10,0.61,0.46,0.145,1.1185
F,8,0.61,0.46,0.155,0.957
F,11,0.61,0.47,0.165,1.1785
M,11,0.615,0.47,0.145,1.0285
M,9,0.615,0.47,0.15,1.0875
F,12,0.615,0.495,0.16,1.255
M,10,0.615,0.495,0.2,1.219
M,11,0.62,0.49,0.16,1.035
M,9,0.62,0.49,0.15,1.195
F,11,0.62,0.495,0.17,1.062
M,15,0.62,0.495,0.195,1.5145
M,9,0.62,0.47,0.15,1.309
M,12,0.62,0.485,0.155,1.0295
M,11,0.625,0.495,0.155,1.0485
M,9,0.625,0.515,0.17,1.331
M,10,0.625,0.505,0.185,1.1565
F,11,0.625,0.445,0.16,1.09
F,11,0.625,0.52,0.18,1.354
F,11,0.625,0.47,0.145,0.984
M,9,0.63,0.49,0.155,1.2525
F,11,0.635,0.485,0.165,1.2695
F,11,0.635,0.52,0.165,1.3405
F,11,0.635,0.505,0.155,1.2895
M,12,0.635,0.525,0.16,1.195
M,12,0.635,0.5,0.165,1.273
M,10,0.635,0.515,0.165,1.229
M,11,0.64,0.53,0.165,1.1895
F,10,0.64,0.48,0.145,1.1145
F,10,0.64,0.515,0.165,1.3115
I,10,0.64,0.49,0.135,1.1
M,9,0.64,0.49,0.155,1.1285
F,11,0.64,0.485,0.185,1.4195
F,12,0.645,0.51,0.18,1.6195
M,11,0.645,0.49,0.175,1.32
F,16,0.645,0.52,0.21,1.5535
I,10,0.65,0.52,0.15,1.238
F,13,0.65,0.51,0.155,1.189
F,10,0.65,0.51,0.185,1.375
F,11,0.655,0.515,0.18,1.412
F,10,0.655,0.525,0.175,1.348
M,9,0.655,0.52,0.17,1.1445
F,10,0.66,0.535,0.205,1.4415
M,11,0.66,0.51,0.175,1.218
F,10,0.665,0.5,0.15,1.2475
M,12,0.665,0.515,0.2,1.2695
M,12,0.665,0.525,0.18,1.429
F,12,0.67,0.53,0.205,1.4015
M,11,0.675,0.515,0.15,1.312
F,11,0.675,0.51,0.185,1.473
M,12,0.68,0.54,0.19,1.623
M,10,0.68,0.54,0.155,1.534
M,10,0.685,0.535,0.155,1.3845
M,11,0.69,0.55,0.18,1.6915
M,13,0.695,0.545,0.185,1.5715
F,13,0.7,0.575,0.205,1.773
M,12,0.7,0.55,0.175,1.4405
M,13,0.7,0.55,0.195,1.6245
F,10,0.705,0.535,0.22,1.866
F,12,0.72,0.575,0.18,1.6705
M,11,0.72,0.565,0.19,2.081
F,11,0.725,0.57,0.205,1.6195
F,11,0.75,0.55,0.195,1.8325
M,13,0.76,0.605,0.215,2.173
I,4,0.135,0.13,0.04,0.029
I,4,0.16,0.11,0.025,0.0195
I,5,0.21,0.15,0.055,0.0465
I,6,0.28,0.21,0.075,0.1195
I,7,0.28,0.2,0.065,0.0895
I,6,0.285,0.215,0.06,0.0935
I,5,0.29,0.21,0.07,0.1115
I,6,0.29,0.21,0.06,0.1195
I,6,0.29,0.21,0.065,0.097
I,6,0.32,0.24,0.07,0.133
I,7,0.325,0.25,0.07,0.1745
I,6,0.335,0.25,0.08,0.1695
I,7,0.35,0.235,0.08,0.17
I,6,0.35,0.25,0.07,0.1605
I,9,0.355,0.27,0.105,0.271
I,6,0.36,0.27,0.085,0.2185
I,7,0.36,0.27,0.085,0.196
I,6,0.375,0.28,0.08,0.226
I,7,0.375,0.275,0.085,0.22
I,7,0.395,0.29,0.095,0.3
I,7,0.405,0.25,0.09,0.2875
I,8,0.415,0.325,0.11,0.316
I,7,0.425,0.315,0.095,0.3675
I,8,0.43,0.32,0.11,0.3675
I,7,0.435,0.325,0.12,0.346
M,8,0.45,0.33,0.105,0.4955
I,7,0.46,0.35,0.11,0.4675
M,10,0.47,0.365,0.135,0.522
I,10,0.47,0.375,0.105,0.441
I,8,0.475,0.365,0.12,0.5185
M,9,0.505,0.39,0.12,0.653
M,12,0.505,0.395,0.135,0.5915
M,10,0.505,0.385,0.115,0.4825
I,9,0.51,0.455,0.135,0.6855
M,9,0.515,0.4,0.14,0.6335
M,9,0.525,0.41,0.13,0.6875
F,9,0.53,0.43,0.15,0.741
F,9,0.53,0.405,0.13,0.6355
M,11,0.545,0.44,0.14,0.8395
F,10,0.55,0.47,0.15,0.9205
F,9,0.56,0.41,0.16,0.8215
M,9,0.565,0.445,0.145,0.9255
F,10,0.57,0.435,0.15,0.8295
M,9,0.58,0.46,0.16,1.063
M,10,0.59,0.465,0.165,1.115
F,10,0.6,0.45,0.14,0.837
M,12,0.605,0.445,0.14,0.982
M,10,0.61,0.49,0.16,1.112
F,14,0.625,0.515,0.18,1.3485
M,9,0.66,0.515,0.195,1.5655
I,5,0.255,0.19,0.06,0.086
I,5,0.27,0.195,0.065,0.1065
I,5,0.28,0.215,0.08,0.132
I,6,0.285,0.215,0.07,0.1075
I,8,0.32,0.255,0.085,0.1745
I,8,0.325,0.24,0.07,0.152
I,8,0.385,0.28,0.1,0.2755
